".smooth",".type",".by",".estimate",".se","log_ircw_z","timeindex","region",".lower_ci",".upper_ci"
"s(timeindex):regionbusan","TPRS","region",1.66338814631001,0.121409475900634,NA,12.9191919191919,"busan",1.42542994616288,1.90134634645713
"s(timeindex):regionbusan","TPRS","region",1.46110645953405,0.121466492998849,NA,13.5151515151515,"busan",1.22303650792792,1.69917641114018
"s(timeindex):regionbusan","TPRS","region",1.24948434520587,0.1196264919096,NA,14.1111111111111,"busan",1.01502072946618,1.48394796094556
"s(timeindex):regionbusan","TPRS","region",1.03400925013046,0.117796084790729,NA,14.7070707070707,"busan",0.803133166420801,1.26488533384011
"s(timeindex):regionbusan","TPRS","region",0.823747889882023,0.117654732221485,NA,15.3030303030303,"busan",0.593148852117209,1.05434692764684
"s(timeindex):regionbusan","TPRS","region",0.62931048016633,0.118509109924352,NA,15.8989898989899,"busan",0.397036892874702,0.861584067457958
"s(timeindex):regionbusan","TPRS","region",0.461988693927076,0.118414383552673,NA,16.4949494949495,"busan",0.229900766912324,0.694076620941827
"s(timeindex):regionbusan","TPRS","region",0.330828493184333,0.116963643871339,NA,17.0909090909091,"busan",0.101583963695939,0.560073022672727
"s(timeindex):regionbusan","TPRS","region",0.241784149384571,0.115203299002337,NA,17.6868686868687,"busan",0.0159898324397927,0.46757846632935
"s(timeindex):regionbusan","TPRS","region",0.195139072053182,0.114801678918295,NA,18.2828282828283,"busan",-0.0298680839914071,0.420146228097772
"s(timeindex):regionbusan","TPRS","region",0.185789578371589,0.115740147251907,NA,18.8787878787879,"busan",-0.0410569418075116,0.412636098550689
"s(timeindex):regionbusan","TPRS","region",0.203273687366284,0.116557909738682,NA,19.4747474747475,"busan",-0.0251756178348026,0.431722992567371
"s(timeindex):regionbusan","TPRS","region",0.232972543564861,0.116540974630184,NA,20.0707070707071,"busan",0.00455643056650387,0.461388656563218
"s(timeindex):regionbusan","TPRS","region",0.258644585079892,0.116018550810115,NA,20.6666666666667,"busan",0.0312524039535358,0.486036766206247
"s(timeindex):regionbusan","TPRS","region",0.264573172856086,0.116178187419167,NA,21.2626262626263,"busan",0.0368681097253745,0.492278235986798
"s(timeindex):regionbusan","TPRS","region",0.238442086527937,0.116992037884728,NA,21.8585858585859,"busan",0.00914190579592414,0.46774226725995
"s(timeindex):regionbusan","TPRS","region",0.172623802861991,0.11726015560261,NA,22.4545454545455,"busan",-0.0572018789406875,0.402449484664669
"s(timeindex):regionbusan","TPRS","region",0.0664320234740137,0.116384413201257,NA,23.050505050505,"busan",-0.161677234762278,0.294541281710305
"s(timeindex):regionbusan","TPRS","region",-0.0755888337050319,0.114865670681223,NA,23.6464646464646,"busan",-0.300721411300268,0.149543743890204
"s(timeindex):regionbusan","TPRS","region",-0.242970208538638,0.11442713385221,NA,24.2424242424242,"busan",-0.467243269743114,-0.0186971473341617
"s(timeindex):regionbusan","TPRS","region",-0.42303087003401,0.115600237317218,NA,24.8383838383838,"busan",-0.64960317178004,-0.19645856828798
"s(timeindex):regionbusan","TPRS","region",-0.602016617267922,0.117206690484185,NA,25.4343434343434,"busan",-0.831737509364057,-0.372295725171786
"s(timeindex):regionbusan","TPRS","region",-0.76888442462581,0.117881349121401,NA,26.030303030303,"busan",-0.999927623352748,-0.537841225898873
"s(timeindex):regionbusan","TPRS","region",-0.915789418063022,0.117171565604392,NA,26.6262626262626,"busan",-1.1454414666598,-0.686137369466241
"s(timeindex):regionbusan","TPRS","region",-1.0407017358108,0.11639903725477,NA,27.2222222222222,"busan",-1.26883965666528,-0.812563814956314
"s(timeindex):regionbusan","TPRS","region",-1.14563704926476,0.116543637061963,NA,27.8181818181818,"busan",-1.37405838053352,-0.917215717996006
"s(timeindex):regionbusan","TPRS","region",-1.23659360621535,0.117285889417557,NA,28.4141414141414,"busan",-1.46646972536851,-1.00671748706219
"s(timeindex):regionbusan","TPRS","region",-1.32044691997667,0.117574612499113,NA,29.010101010101,"busan",-1.55088892597118,-1.09000491398216
"s(timeindex):regionbusan","TPRS","region",-1.40342339716411,0.116724222896626,NA,29.6060606060606,"busan",-1.63219867016493,-1.1746481241633
"s(timeindex):regionbusan","TPRS","region",-1.48790014729043,0.115764191873298,NA,30.2020202020202,"busan",-1.71479379406148,-1.26100650051938
"s(timeindex):regionbusan","TPRS","region",-1.57220653256679,0.115736596323739,NA,30.7979797979798,"busan",-1.79904609305457,-1.34536697207901
"s(timeindex):regionbusan","TPRS","region",-1.64963574333835,0.116619129107035,NA,31.3939393939394,"busan",-1.87820503629657,-1.42106645038014
"s(timeindex):regionbusan","TPRS","region",-1.71029482627599,0.117327063383961,NA,31.989898989899,"busan",-1.9402516449204,-1.48033800763158
"s(timeindex):regionbusan","TPRS","region",-1.74295694646899,0.116786685390931,NA,32.5858585858586,"busan",-1.97185464370903,-1.51405924922896
"s(timeindex):regionbusan","TPRS","region",-1.73846633188459,0.11569927263633,NA,33.1818181818182,"busan",-1.96523273928927,-1.5116999244799
"s(timeindex):regionbusan","TPRS","region",-1.69186710983649,0.115218240140098,NA,33.7777777777778,"busan",-1.91769071087317,-1.46604350879981
"s(timeindex):regionbusan","TPRS","region",-1.6048166042244,0.115837777226242,NA,34.3737373737374,"busan",-1.83185447563701,-1.37777873281179
"s(timeindex):regionbusan","TPRS","region",-1.48620778013629,0.116690278087299,NA,34.969696969697,"busan",-1.71491652253336,-1.25749903773922
"s(timeindex):regionbusan","TPRS","region",-1.35058773640818,0.116438679526711,NA,35.5656565656566,"busan",-1.57880335468794,-1.12237211812843
"s(timeindex):regionbusan","TPRS","region",-1.21672319625011,0.115375334171488,NA,36.1616161616162,"busan",-1.4428546959305,-0.990591696569716
"s(timeindex):regionbusan","TPRS","region",-1.10330490241694,0.114615709060381,NA,36.7575757575758,"busan",-1.3279475642378,-0.878662240596069
"s(timeindex):regionbusan","TPRS","region",-1.02625877420579,0.11511572183,NA,37.3535353535353,"busan",-1.25188144304692,-0.80063610536466
"s(timeindex):regionbusan","TPRS","region",-0.994755709056507,0.116317688567539,NA,37.9494949494949,"busan",-1.22273418941383,-0.766777228699185
"s(timeindex):regionbusan","TPRS","region",-1.01114911947955,0.1167048136937,NA,38.5454545454545,"busan",-1.23988635114166,-0.78241188781744
"s(timeindex):regionbusan","TPRS","region",-1.06875804871688,0.116085784150716,NA,39.1414141414141,"busan",-1.29628200476937,-0.841234092664383
"s(timeindex):regionbusan","TPRS","region",-1.15587687034257,0.115351509568073,NA,39.7373737373737,"busan",-1.38196167465832,-0.929792066026815
"s(timeindex):regionbusan","TPRS","region",-1.25652311047637,0.115780838932865,NA,40.3333333333333,"busan",-1.48344938488462,-1.02959683606812
"s(timeindex):regionbusan","TPRS","region",-1.355634517715,0.117172313382001,NA,40.9292929292929,"busan",-1.58528803192896,-1.12598100350104
"s(timeindex):regionbusan","TPRS","region",-1.44049869439914,0.11793790025138,NA,41.5252525252525,"busan",-1.67165273130412,-1.20934465749416
"s(timeindex):regionbusan","TPRS","region",-1.50483871642951,0.117422587584547,NA,42.1212121212121,"busan",-1.73498275906672,-1.2746946737923
"s(timeindex):regionbusan","TPRS","region",-1.54740312554174,0.116257636966024,NA,42.7171717171717,"busan",-1.77526390692288,-1.3195423441606
"s(timeindex):regionbusan","TPRS","region",-1.57311800952471,0.116121357618847,NA,43.3131313131313,"busan",-1.80071168829354,-1.34552433075587
"s(timeindex):regionbusan","TPRS","region",-1.58936833427941,0.117393736055613,NA,43.9090909090909,"busan",-1.81945582895901,-1.3592808395998
